"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TERMTRADE","TOT","RT","A","2006",107.822999554865,
"AUS","TERMTRADE","TOT","RT","A","2007",113.9099851209,
"AUS","TERMTRADE","TOT","RT","A","2008",122.128998704991,
"AUS","TERMTRADE","TOT","RT","A","2009",117.738714677714,
"AUS","TERMTRADE","TOT","RT","A","2010",141.752907859333,
"AUS","TERMTRADE","TOT","RT","A","2011",142.450766124994,
"AUS","TERMTRADE","TOT","RT","A","2012",128.870743459454,
"AUS","TERMTRADE","TOT","RT","A","2013",124.005024478627,
"AUS","TERMTRADE","TOT","RT","A","2014",111.136534255466,
"AUS","TERMTRADE","TOT","RT","A","2015",100,
"AUS","TERMTRADE","TOT","RT","A","2016",114.308546378649,
"AUS","TERMTRADE","TOT","RT","A","2017",116.505356541541,
"AUS","TERMTRADE","TOT","RT","A","2018",123.161791510731,
"AUS","TERMTRADE","TOT","RT","A","2019",124.118775006825,
"AUS","TERMTRADE","TOT","RT","A","2020",136.853643483045,
"AUT","TERMTRADE","TOT","RT","A","2006",101.023683887506,
"AUT","TERMTRADE","TOT","RT","A","2007",100.588436226939,
"AUT","TERMTRADE","TOT","RT","A","2008",99.3463040388505,
"AUT","TERMTRADE","TOT","RT","A","2009",101.225646556232,
"AUT","TERMTRADE","TOT","RT","A","2010",99.5630673799262,
"AUT","TERMTRADE","TOT","RT","A","2011",97.841218015289,
"AUT","TERMTRADE","TOT","RT","A","2012",97.3440962366754,
"AUT","TERMTRADE","TOT","RT","A","2013",97.4891848591615,
"AUT","TERMTRADE","TOT","RT","A","2014",98.4428524550463,
"AUT","TERMTRADE","TOT","RT","A","2015",100,
"AUT","TERMTRADE","TOT","RT","A","2016",100.981905612698,
"AUT","TERMTRADE","TOT","RT","A","2017",99.7900158081453,
"AUT","TERMTRADE","TOT","RT","A","2018",99.51444647894,
"AUT","TERMTRADE","TOT","RT","A","2019",98.8971833648977,
"AUT","TERMTRADE","TOT","RT","A","2020",99.8319358204217,
"AUT","TERMTRADE","TOT","RT","A","2021",97.3342355924431,
"BEL","TERMTRADE","TOT","RT","A","2006",101.018508230328,
