LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1970,80.47731294,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1971,75.40920703,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1972,89.75443104,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1973,96.45966611,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1974,87.77820484,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1975,83.75333436,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1976,81.07933702,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1977,73.75311349,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1978,74.25729374,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1979,76.97895201,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1980,76.33955476,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1981,75.1525916,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1982,74.03057624,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1983,75.82367579,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1984,74.64816102,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1985,67.5672564,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1986,63.885654,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1987,69.41423175,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1988,79.69557306,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1989,79.97490441,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1990,75.77223298,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1991,73.43940851,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1992,70.40615159,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1993,68.43140792,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1994,70.67177277,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1995,72.92376704,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1996,75.08195959,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1997,74.66540895,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1998,70.99373543,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,1999,73.83671771,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2000,75.0712907,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2001,76.17795741,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2002,77.31440602,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2003,83.08720085,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2004,90.94598104,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2005,100.6419279,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2006,107.8229996,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2007,113.9099851,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2008,122.1289987,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2009,117.7387147,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2010,141.7529079,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2011,142.4507661,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2012,128.8707435,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2013,124.0050245,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2014,111.1365343,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2015,100,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2016,114.3085464,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2017,116.5053565,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2018,123.1617915,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2019,124.118775,,,,,,,,,,
AUS,TERMTRADE,TOT,RT,A,2020,136.8536435,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,18.27,19.53,18.85,22.29,19.51,20.4,21.32,19.93,20.22,20.45,19.47,19.13,20.93,22.45,24.82,(5) 21.02
